City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
Flinders,AU,60.8,-34.58,150.85,100,0,3.36
Tirano,IT,19.4,46.22,10.17,85,0,2.24
Visby,SE,28.4,57.64,18.3,79,0,10.29
Smoky Lake,CA,7.32,54.11,-112.47,79,68,6.31
Touba,SN,90.57,14.86,-15.88,12,0,6.42
Nsanje,MZ,81.66,-16.92,35.26,67,88,3.51
Pitimbu,BR,84.2,-7.47,-34.81,66,75,10.29
Xingyi,CN,48.72,24.19,102.82,63,0,7.54
Maceio,BR,84.2,-9.67,-35.74,58,40,17.22
Bemidji,US,13.03,47.48,-94.89,88,1,4.41
Karratha,AU,83.86,-20.74,116.85,44,44,9.22
Port-Gentil,GA,84.2,-0.72,8.78,79,40,9.17
Nosy Varika,MG,77.29,-20.58,48.53,100,76,4.41
Kharp,RU,-28.33,66.82,65.8,0,20,7.99
Jumla,NP,2.19,29.28,82.18,65,0,1.28
Killybegs,IE,46.4,54.63,-8.45,93,90,10.29
Roberval,CA,6.8,48.51,-72.22,77,90,4.7
Ayr,GB,34.93,55.46,-4.63,100,20,8.99
Hohhot,CN,-0.41,40.81,111.65,59,0,4.47
Campoverde,IT,55.92,41.54,12.73,93,0,2.24
Kharan,PK,37.02,28.58,65.42,79,0,3.18
Formosa do Rio Preto,BR,82.29,-11.04,-45.19,89,56,3.96
Shenjiamen,CN,54.21,29.96,122.3,93,32,10.78
Wajima,JP,39.67,37.4,136.9,100,68,4.63
Rio Tercero,AR,91.83,-32.17,-64.11,29,0,15.59
Saint-Ambroise,FR,50,47.25,-0.65,100,90,8.05
Laguna,MX,55.4,27.52,-110.01,71,5,3.62
Mezhova,UA,29.64,48.26,36.73,93,80,13.35
Esil,KZ,-16.31,51.96,66.41,72,0,10.22
Lodja,CD,75.63,-3.52,23.6,88,8,2.39
Chiang Khong,LA,62.6,20.27,100.41,100,0,2.06
Ust-Maya,RU,-19.96,60.42,134.54,29,76,4.41
Yuli,NG,66.04,10.52,9.86,41,0,5.19
Hirara,JP,73.47,24.8,125.28,100,80,24.76
San Vicente,SV,86.9,13.64,-88.78,43,20,3.36
Brigantine,US,43.83,39.41,-74.36,70,90,12.75
Dudinka,RU,-11.09,69.41,86.18,75,92,21.52
Boma,NG,77.11,11.23,4.46,39,0,4.85
Broken Hill,AU,78.8,-31.97,141.45,55,0,8.05
Hofn,IS,43.54,64.25,-15.21,89,80,20.18
Kifri,IQ,49.84,34.69,44.96,93,92,11.79
Mungwi,ZM,65.19,-10.17,31.37,98,88,3.06
Brookings,US,26.22,44.31,-96.8,88,1,11.41
Saint-Francois,FR,48.2,46.42,3.91,87,75,3.36
Dunedin,NZ,44.71,-45.87,170.5,86,0,2.73
Chernyshevskiy,RU,-38.68,63.01,112.47,0,0,6.31
Payo,ID,68.52,-3.75,103.64,82,0,2.62
Tiznit,MA,61.09,29.7,-9.73,77,88,3.4
Matheran,IN,82.4,18.99,73.27,45,40,2.17
Diego de Almagro,CL,75.31,-26.39,-70.05,69,0,3.62
Kuching,MY,78.8,1.56,110.34,83,75,3.36
Kumluca,TR,26.67,36.37,30.29,82,8,1.61
Benton Harbor,US,29.53,42.12,-86.45,58,90,10.29
Uribia,CO,89.22,11.71,-72.27,48,32,19.39
Barcelona,ES,58.08,41.38,2.18,77,0,3.36
Vila Velha,BR,86,-3.71,-38.6,66,40,9.17
Razole,IN,77.11,16.48,81.84,100,8,7.2
Lebanon,US,29.37,43.64,-72.25,88,90,2.84
Alice Springs,AU,68,-23.7,133.88,13,0,5.82
Gorontalo,ID,73.87,0.54,123.06,91,64,2.39
Inhambane,MZ,82.4,-23.87,35.38,58,20,6.93
Dzilam Gonzalez,MX,82.47,21.28,-88.93,49,12,7.65
Binga,ZW,85.17,-17.62,27.34,58,20,7.2
Tallahassee,US,56.79,30.44,-84.28,71,1,4.7
Turayf,SA,51.8,31.68,38.65,71,0,9.17
Dale,CN,55.29,24.09,109.99,99,88,2.51
San Jose de Guanipa,VE,81.93,8.89,-64.17,60,80,15.82
Betare Oya,CM,79.41,5.6,14.08,30,12,6.98
Arona,IT,40.17,45.76,8.56,24,0,20.8
Komsomolskiy,RU,3.04,67.55,63.78,84,88,14.81
Umm Kaddadah,SD,65.55,13.6,26.69,33,0,10.67
Biak,ID,74.28,-0.91,122.88,100,88,4.63
Providencia,CO,57.2,1.24,-77.6,67,75,10.29
Tarbagatay,RU,-11.21,51.48,107.36,52,40,17.9
Chapais,CA,-4.01,49.78,-74.86,83,90,9.17
Denpasar,ID,77,-8.65,115.22,83,75,4.7
Apastovo,RU,17.6,55.2,48.51,85,90,15.66
Honningsvag,NO,17.67,70.98,25.97,100,76,10.45
Kiruna,SE,3.2,67.86,20.23,84,12,3.36
Ruyigi,BI,61.27,-3.47,30.25,96,92,2.84
Cilegon,ID,77,-6.02,106.05,83,20,8.05
Gamba,CN,-7.31,28.28,88.52,50,0,5.64
Comodoro Rivadavia,AR,84.2,-45.87,-67.48,26,40,19.46
Morros,BR,82.4,-2.87,-44.04,74,75,13.87
Chadan,RU,-23.06,51.29,91.58,28,12,2.73
Parintins,BR,82.74,-2.63,-56.73,74,92,3.62
Kenai,US,2.95,60.55,-151.26,87,1,6.2
Bosanska Gradiska,BA,39.2,45.14,17.25,86,0,3.36
Wuwei,CN,1.02,37.93,102.64,57,48,2.28
Nador,MA,60.04,35.17,-2.93,82,20,1.12
Luwuk,ID,74.28,-0.95,122.79,100,88,4.63
Novi Sanzhary,UA,32.88,49.33,34.31,94,92,14.81
Xifeng,CN,21.54,42.73,124.72,64,0,13.13
Preetz,DE,38.32,54.24,10.28,86,24,10.29
Darnah,LY,63.79,32.77,22.64,100,64,14.03
Puerto Penasco,MX,61.81,31.32,-113.53,100,0,2.39
Nanortalik,GL,33.87,60.14,-45.24,92,92,21.07
Brainerd,US,14.58,46.36,-94.2,76,1,3.62
Rawson,AR,90.34,-43.3,-65.11,29,0,4.85
Nemuro,JP,31.21,43.32,145.57,100,24,19.28
Dhrangadhra,IN,54.48,22.99,71.47,67,0,3.96
Xuanzhou,CN,45.39,30.95,118.78,88,0,12.01
Chingirlau,KZ,9.16,51.09,54.08,78,68,13.91
Moratuwa,LK,75.2,6.77,79.88,88,40,2.24
Omboue,GA,80.89,-1.57,9.26,100,44,8.66
Balfour,CA,21.72,49.62,-116.96,85,76,1.39
Buchanan,LR,89.6,5.88,-10.05,62,20,4.7
Maragogi,BR,81.84,-9.01,-35.22,78,76,10.67
Lagos,NG,91.4,6.46,3.39,52,0,5.82
Bakchar,RU,-31.93,57.02,82.07,0,8,2.73
College,US,-21.47,64.86,-147.8,75,8,4.97
Puerto Madryn,AR,76.89,-42.77,-65.04,50,0,9.33
Namibe,AO,73.74,-15.19,12.15,100,64,7.2
Lata,IN,19.29,30.78,78.62,77,0,1.72
Launceston,AU,59,-41.43,147.14,72,40,13.87
Penzance,GB,51.08,50.12,-5.53,93,75,12.75
Havelock,US,53.8,34.88,-76.9,54,1,6.93
Usinsk,RU,4.44,66,57.56,80,88,15.14
Biskamzha,RU,-24.46,53.45,89.53,34,0,2.17
Vila,IT,51.78,45.18,8.4,24,0,20.8
Fort Nelson,CA,-2.21,58.81,-122.69,84,90,3.36
Sjovegan,NO,23.25,68.87,17.85,92,64,11.41
Mocuba,MZ,78.82,-16.84,36.99,77,92,4.41
Iracoubo,GF,80.22,5.48,-53.21,78,92,5.64
Bukama,CD,70.27,-9.2,25.85,90,80,3.62
North Platte,US,33.08,41.12,-100.77,77,75,6.31
Belaya Gora,RU,-32.2,68.54,146.19,0,44,4.18
Nuuk,GL,32,64.17,-51.74,93,90,12.75
Ruteng,ID,72.07,-8.61,120.46,99,80,2.84
Nokaneng,BW,86.97,-19.66,22.19,35,56,6.98
Salinopolis,BR,80.4,-0.61,-47.36,100,76,12.46
Barra Patuca,HN,79.99,15.8,-84.28,97,24,5.97
Copacabana,CO,75.13,6.35,-75.51,47,40,11.41
Srednekolymsk,RU,-37.01,67.46,153.71,0,24,2.73
Montepuez,MZ,71.94,-13.13,39,96,92,2.84
Rodas,CU,76.01,22.34,-80.56,73,75,11.41
Saint-Pierre,FR,44.02,48.95,4.24,81,90,5.82
Tamalameque,CO,91.2,8.86,-73.82,50,0,4.18
Mattru,SL,93.49,7.62,-11.83,29,12,2.62
Christchurch,NZ,60.8,-43.53,172.64,93,36,10.29
Ambilobe,MG,75.22,-13.19,49.05,95,68,9.33
Mariental,DE,34.59,52.28,10.99,97,92,13.02
Srivardhan,IN,73.38,18.03,73.02,85,64,3.06
Kjollefjord,NO,9.07,70.95,27.35,100,76,5.64
Borogontsy,RU,-24.73,62.67,131.17,37,68,5.19
De Aar,ZA,82.29,-30.65,24.01,16,0,6.64
Kununurra,AU,82.4,-15.77,128.74,88,0,1.16
Podgornoye,RU,-31.3,57.79,82.64,0,32,2.62
Medea,DZ,60.8,36.27,2.77,82,0,4.7
Kerman,IR,39.2,30.29,57.06,21,0,4.7
Batemans Bay,AU,60.78,-35.71,150.18,100,0,3.4
Mandya,IN,70.99,12.52,76.9,86,36,1.83
Easthampton,US,31.77,42.27,-72.67,84,90,3.4
Tabou,CI,82.42,4.42,-7.36,100,80,9.44
Wilkie,CA,8.6,52.41,-108.71,84,90,4.7
Skibbereen,IE,50,51.55,-9.27,100,90,6.93
Taquaritinga,BR,86.88,-21.41,-48.51,61,8,7.43
Farafangana,MG,75.45,-22.82,47.83,100,88,5.97
Dubbo,AU,68,-32.25,148.6,60,0,11.41
Sorland,NO,39.99,67.67,12.69,100,88,29.68
Cabinda,AO,79.81,-5.56,12.19,99,20,9.66
Kosa,RU,10.83,59.94,54.99,72,88,14.47
Inta,RU,7.36,66.04,60.13,77,32,5.19
Harjavalta,FI,23,61.31,22.13,92,24,5.82
Spearfish,US,30.97,44.49,-103.86,33,1,8.05
Marienburg,DE,36.54,52.12,9.98,94,75,6.93
Aykhal,RU,-52.76,65.95,111.51,0,8,2.95
Trairi,BR,80.04,-3.28,-39.27,100,48,16.37
Uttaradit,TH,68.56,17.63,100.1,78,0,3.4
Nadym,RU,-15.55,65.53,72.51,71,8,14.36
Mortka,RU,-24.91,59.33,66.02,39,0,6.2
San Juan,PH,78.8,14.6,121.03,83,75,8.99
